"Baby","Time","Duration (min)"
"First-Born","10/23/20 4:30 AM",60
"First-Born","10/23/20 6:00 AM",55
"First-Born","10/23/20 8:31 AM",39
"First-Born","10/23/20 11:13 AM",28
"First-Born","10/23/20 3:49 PM",14
"First-Born","10/23/20 7:16 PM",298
"First-Born","10/24/20 12:49 AM",391
"First-Born","10/24/20 9:10 AM",38
"First-Born","10/24/20 2:20 PM",25
"First-Born","10/24/20 4:18 PM",13
"First-Born","10/24/20 7:05 PM",459
"First-Born","10/25/20 4:40 AM",150
"First-Born","10/25/20 8:59 AM",48
"First-Born","10/25/20 12:35 PM",40
"First-Born","10/25/20 3:28 PM",40
"First-Born","10/25/20 7:33 PM",351
"First-Born","10/26/20 2:50 AM",230
"First-Born","10/26/20 8:13 AM",29
"First-Born","10/26/20 11:35 AM",35
"First-Born","10/26/20 2:40 PM",43
"First-Born","10/26/20 8:09 PM",644
"First-Born","10/27/20 8:26 AM",38
"First-Born","10/27/20 11:15 AM",48
"First-Born","10/27/20 2:50 PM",79
"First-Born","10/27/20 7:06 PM",399
"First-Born","10/28/20 3:07 AM",180
"First-Born","10/28/20 8:05 AM",32
"First-Born","10/28/20 11:32 AM",26
"First-Born","10/28/20 1:43 PM",23
"First-Born","10/28/20 2:51 PM",55
"First-Born","10/28/20 7:14 PM",721
"First-Born","10/29/20 8:58 AM",31
"First-Born","10/29/20 11:15 AM",37
"First-Born","10/29/20 7:11 PM",293
"First-Born","10/30/20 12:42 AM",346
"First-Born","10/30/20 11:48 AM",27
"First-Born","10/30/20 2:32 PM",94
"First-Born","10/30/20 7:24 PM",686
"First-Born","10/31/20 8:27 AM",31
"First-Born","10/31/20 11:50 AM",19
"First-Born","10/31/20 3:39 PM",93
"First-Born","10/31/20 7:20 PM",670
"First-Born","11/1/20 7:26 AM",50
"First-Born","11/1/20 1:31 PM",26
"First-Born","11/1/20 4:24 PM",32
"First-Born","11/1/20 7:05 PM",629
"First-Born","11/2/20 7:17 AM",63
"First-Born","11/2/20 11:04 AM",36
"First-Born","11/2/20 1:36 PM",122
"First-Born","11/2/20 7:20 PM",635
"First-Born","11/3/20 7:52 AM",47
"First-Born","11/3/20 11:11 AM",34
"First-Born","11/3/20 7:07 PM",673
"First-Born","11/4/20 7:55 AM",54
"First-Born","11/4/20 7:01 PM",649
"First-Born","11/5/20 7:21 AM",69
"First-Born","11/5/20 11:10 AM",85
"First-Born","11/5/20 3:05 PM",26
"First-Born","11/5/20 6:52 PM",NA
"First-Born","11/5/20 6:55 PM",735
"First-Born","11/6/20 8:44 AM",25
"First-Born","11/6/20 12:12 PM",44
"First-Born","11/6/20 3:16 PM",26
"First-Born","11/6/20 6:52 PM",698
"First-Born","11/7/20 8:00 AM",30
"First-Born","11/7/20 10:47 AM",23
"First-Born","11/7/20 12:55 PM",26
"First-Born","11/7/20 7:50 PM",640
"First-Born","11/8/20 8:23 AM",48
"First-Born","11/8/20 2:31 PM",34
"First-Born","11/8/20 7:10 PM",670
"First-Born","11/9/20 7:48 AM",19
"First-Born","11/9/20 11:15 AM",116
"First-Born","11/9/20 7:02 PM",658
"First-Born","11/10/20 8:00 AM",38
"First-Born","11/10/20 11:08 AM",31
"First-Born","11/10/20 7:06 PM",694
"First-Born","11/11/20 7:55 AM",57
"First-Born","11/11/20 11:15 AM",76
"First-Born","11/11/20 2:34 PM",22
"First-Born","11/11/20 6:50 PM",700
"First-Born","11/12/20 8:07 AM",51
"First-Born","11/12/20 11:13 AM",29
"First-Born","11/12/20 2:15 PM",42
"First-Born","11/12/20 7:08 PM",652
"First-Born","11/13/20 7:44 AM",50
"First-Born","11/13/20 11:09 AM",30
"First-Born","11/13/20 3:31 PM",21
"First-Born","11/13/20 6:45 PM",695
"First-Born","11/14/20 8:10 AM",50
"First-Born","11/14/20 11:59 AM",57
"First-Born","11/14/20 2:55 PM",23
"First-Born","11/14/20 7:04 PM",701
"First-Born","11/15/20 9:11 AM",29
"First-Born","11/15/20 11:32 AM",28
"First-Born","11/15/20 2:57 PM",46
"First-Born","11/15/20 6:58 PM",692
